id,name,star rating,description,address,latitude,longitude,room option 0,room option 1,currency code,room price,tax,extra guest charge,child charge,other charges,discount,type,base rate,base rate rounded off,published price,published price rounded off,offered price,offered price rounded off,agent commission,agent mark up,service tax,tcs,tds,service charge,total gst amount,cgst amount,cgst rate,cess amount,cess rate,igst amount,igst rate,sgst amount,sgst rate,taxable amount
64905c9fbd18b41c911004e2,FabHotel Gitanjalee,3,"The name of the hotel is FabHotel Gitanjalee. The id of the hotel is 64905c9fbd18b41c911004e2. The hotel star rating is 3. The hotel address is D-98, Pawan Path, Hanuman Nagar, Vaishali Nagar, Jaipur, Rajasthan 302021, 302021 Jaipur, Rajasthan. Hotel Description is FabHotel Gitanjalee Additional Description for the hotel are Convenient location, excellent reviews, and comfortable stay in Jaipur.","D-98, Pawan Path, Hanuman Nagar, Vaishali Nagar, Jaipur, Rajasthan 302021, 302021 Jaipur, Rajasthan",28.568000000000001,77.189700000000002,Premium Room,Executive Room,INR,0,156.94999999999999,0,0,0,0,Published,1307.9000000000001,1307.9000000000001,2411.9499999999998,2411.9499999999998,1464.8499999999999,1464.8499999999999,117.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649066afbd18b41c91100d59,Sanjary Palace,0,"The name of the hotel is Sanjary Palace. The id of the hotel is 649066afbd18b41c91100d59. The hotel star rating is not known. The hotel address is 11 SC Road LBS Marg, Kurla West, . Hotel Description is HeadLine : In Mumbai (Kurla)Location : Located in Mumbai (Kurla), Hotel Sanjary Palace is within a 5-minute drive of University of Mumbai and JioGarden.  This hotel is 5.5 mi (8.8 km) from Juhu Beach and 0.8 mi (1.2 km) from U.S. Consulate General.Rooms : Stay in one of 16 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and complimentary toiletries. Conveniences include safes and complimentary newspapers, and housekeeping is provided daily.Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s 24-hour room service. A complimentary continental breakfast is served daily from 8 AM to 11 AM.CheckIn Instructions :   Extra-person charges may apply and vary depending on property policyGovernment-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental chargesSpecial requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteedBe prepared: check the latest COVID-19 travel requirements and measures in place for this destination before you travel.  Special Instructions : Front desk staff will greet guests on arrival. ","11 SC Road LBS Marg, Kurla West, ",19.071221999999999,72.875489999999999,Deluxe Room,Deluxe Triple Room,INR,0,145.19999999999999,0,0,0,0,Published,1099.8900000000001,1099.8900000000001,1355,1355,1245.0899999999999,1245.0899999999999,110.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64906a33a3f464b55600b084,Royal Residency,3,"The name of the hotel is Royal Residency. The id of the hotel is 64906a33a3f464b55600b084. The hotel star rating is 3. The hotel address is 183, 184, 185 Modi Nagar, Purani Chungi, Ajmer Road, Jaipur, Rajasthan, 302019, India, 302019 Jaipur, Rajasthan, India. Hotel Description is The property is well-maintained and offers a host of conveniences of comforts required for a pleasant stay. There will an attendant available at hand for guests assistance during their stay. A few of the amenities available include drinking water, air-conditioner, television, separate seating area, attached bathroom and hot water supply. To add more, guests can relish a scrumptious breakfast and order food from the restaurants nearby. Additional Description for the hotel are Well-maintained property with convenient amenities, attentive staff, and delicious nearby restaurants.","183, 184, 185 Modi Nagar, Purani Chungi, Ajmer Road, Jaipur, Rajasthan, 302019, India, 302019 Jaipur, Rajasthan, India",75.805250000000001,26.846461999999999,Super Deluxe Double Room - Generic - YCHS,Deluxe Double Room - Generic - YCHS,INR,0,3525.48,0,0,0,0,,,,23111.48,23111.48,23111.48,23111.48,1762.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64906aaea3f464b55600b948,Nirbana Palace,0,"The name of the hotel is Nirbana Palace. The id of the hotel is 64906aaea3f464b55600b948. The hotel star rating is not known. The hotel address is Station Road, . Hotel Description is Featuring a bar, Nirbana Palace - A Heritage Hotel and Spa is set in Jaipur in the Rajasthan region, 800 metres from Sindhi Camp and 3.4 km from City Palace. Among the facilities of this property are a restaurant, a 24-hour front desk and room service, along with free WiFi. Nahargarh Fort Palace is 5 km away and Birla Mandir Temple, Jaipur is 6 km from the resort.

The resort will provide guests with air-conditioned rooms offering a desk, a safety deposit box, a flat-screen TV and a private bathroom with a shower. At Nirbana Palace - A Heritage Hotel and Spa all rooms come with bed linen and towels.

Guests at the accommodation can enjoy a continental breakfast.

Jantar Mantar, Jaipur is 3.5 km from Nirbana Palace - A Heritage Hotel and Spa, while Hawa Mahal - Palace of Winds is 3.7 km away. The nearest airport is Jaipur International, 14 km from the resort, and the property offers a paid airport shuttle service. ","Station Road, ",26.921659999999999,75.794560000000004,Superior Room,Premier Room,INR,0,597.36000000000001,0,0,0,0,Published,4525,4525,5575,5575,5122.3599999999997,5122.3599999999997,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64906aaea3f464b55600b949,Hotel Aashish,3,"The name of the hotel is Hotel Aashish. The id of the hotel is 64906aaea3f464b55600b949. The hotel star rating is 3. The hotel address is Opp. Hathroi School, Ajmer Rd, Jaipur, Rajasthan 302001, 302001 Jaipur, Rajasthan. Hotel Description is Hotel Aashish is best budget Hotel in Jaipur located on Jaipur's Ajmer Road, 4 Km from Birla Temple. It Features a restaurant and air-conditioned rooms with a cable TV and private bathroom. Guests enjoy free parking.
Hotel Aashish, one of the best budget hotels in Jaipur has fully air-conditioned rooms.
This 3 star hotel offers rooms at budget prices. The hotel rooms are comfortable and huge. All hotel rooms are equipped with �up-to-the-minute� amenities to lodge different cost requirements.
 Additional Description for the hotel are Affordable budget hotel with spacious rooms and up-to-the-minute amenities.","Opp. Hathroi School, Ajmer Rd, Jaipur, Rajasthan 302001, 302001 Jaipur, Rajasthan",26.915679999999998,75.797709999999995,Standard Room,,INR,0,246.24000000000001,0,0,0,0,Published,2052,2052,4046.2399999999998,4046.2399999999998,2298.2399999999998,2298.2399999999998,184.68000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64906aaea3f464b55600b94a,Aura Homestay Royal Villa,0,"The name of the hotel is Aura Homestay Royal Villa. The id of the hotel is 64906aaea3f464b55600b94a. The hotel star rating is not known. The hotel address is 32 Bc Keshav Nagar Civil Lines Hawa Sarak, . Hotel Description is Set in Jaipur, 3.8 km from Birla Mandir Temple, Jaipur and 3.9 km from Sindhi Camp, Aura Homestay Royal Villa offers accommodation with free WiFi, air conditioning, a shared lounge and a garden.

There is a fully equipped private bathroom with shower and free toiletries.

A buffet breakfast is available every morning at the homestay.

Aura Homestay Royal Villa offers a terrace.

A car rental service is available at the accommodation.

Govind Dev Ji Temple is 5 km from Aura Homestay Royal Villa, while City Palace is 6 km from the property. The nearest airport is Jaipur International Airport, 12 km from the homestay. Please inform Aura Homestay Royal Villa in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
This property will not accommodate hen, stag or similar parties. ","32 Bc Keshav Nagar Civil Lines Hawa Sarak, ",26.902180000000001,75.783670000000001,Tent,Deluxe Double Room with Balcony,INR,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64906aaea3f464b55600b94c,Shivoham Yoga retreats,3,"The name of the hotel is Shivoham Yoga retreats. The id of the hotel is 64906aaea3f464b55600b94c. The hotel star rating is 3. The hotel address is Sumel, Beermalpura at Mukandpura, RJ302027, India, 302027, India. Hotel Description is <b>In Jaipur</b><b>Location: </b>Located in Jaipur, Shivoham Yoga retreats is within a 10-minute drive of Hanuman Temple and Surya Mandir.  This hotel is 7.9 mi (12.7 km) from Hawa Mahal and 8.3 mi (13.3 km) from City Palace.<b>Rooms: </b>Treat yourself to a stay in one of the 12 individually decorated guestrooms, featuring private pools. Complimentary wireless Internet access is available to keep you connected. Conveniences include desks, housekeeping is provided daily, and rollaway/extra beds (surcharge) can be requested.<b>Attractions: </b>Distances are displayed to the nearest 0.1 mile and kilometer. <br /> Hanuman Temple - 6.9 km / 4.3 mi <br /> Surya Mandir - 7.6 km / 4.7 mi <br /> Sisodia Rani Palace and Garden - 7.6 km / 4.7 mi <br /> Galta-Monkey Palace - 9.2 km / 5.7 mi <br /> Galtaji Temple - 9.2 km / 5.7 mi <br /> Rajput Palace - 10.9 km / 6.8 mi <br /> Jaigarh Fort - 10.9 km / 6.8 mi <br /> Galta Gate - 11.1 km / 6.9 mi <br /> Ram Niwas Garden - 11.8 km / 7.3 mi <br /> Moti Dungari Temple - 11.9 km / 7.4 mi <br /> Ganesh Temple - 12 km / 7.4 mi <br /> Bapu Bazaar - 12.1 km / 7.5 mi <br /> Raghoraji Temple - 12.2 km / 7.6 mi <br /> M.I. Road - 12.3 km / 7.6 mi <br /> Museum of Indology - 12.5 km / 7.8 mi <br /> The nearest major airport is Sanganer Airport (JAI) - 20.4 km / 12.7 mi<b>Amenities: </b>Take advantage of recreation opportunities such as an outdoor pool or take in the view from a terrace and a garden. This hotel also features complimentary wireless Internet access and a picnic area.<b>Business Amenities: </b>Free self parking is available onsite.<b>Dining: </b>Enjoy a meal at Restaurant, or stay in and take advantage of the hotel's 24-hour room service. Additional Description for the hotel are Conveniently located in Jaipur, with private pools and stunning views.","Sumel, Beermalpura at Mukandpura, RJ302027, India, 302027, India",26.921309000000001,75.920590000000004,"Business Double or Twin Room, Ocean View",,INR,0,210.88999999999999,0,0,0,0,Published,1703.4300000000001,1703.4300000000001,2108.21,2108.21,1914.3199999999999,1914.3199999999999,153.30869999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64906aaea3f464b55600b94d,Tuma Club House,3,"The name of the hotel is Tuma Club House. The id of the hotel is 64906aaea3f464b55600b94d. The hotel star rating is 3. The hotel address is E-92, Girdhar Marg, Malviya Nagar, Rajasthan302017, India, 302017, Rajasthan, India. Hotel Description is <b>In Jaipur (Malviya Nagar)</b><b>Location: </b>A stay at Tuma Club House places you in the heart of Jaipur, a 2-minute drive from World Trade Park and 7 minutes from Sawai Mansingh Stadium.  This hotel is 5.7 mi (9.2 km) from City Palace and 5.8 mi (9.3 km) from M.I. Road.<b>Rooms: </b>Stay in one of 30 guestrooms featuring LED televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and complimentary toiletries. Conveniences include safes and electric kettles, and housekeeping is provided daily.<b>Attractions: </b>Distances are displayed to the nearest 0.1 mile and kilometer. <br /> World Trade Park - 0.8 km / 0.5 mi <br /> Jawahar Circle - 1.2 km / 0.7 mi <br /> Glass Jain Temple - 4.3 km / 2.6 mi <br /> Cenotaphs of the Maharanis of Jaipur - 4.7 km / 2.9 mi <br /> Diwan-e-Am - 5 km / 3.1 mi <br /> Birla Mandir Temple - 5.9 km / 3.7 mi <br /> ISKCON Jaipur, Sri Sri Giridhari Dauji Temple - 6 km / 3.7 mi <br /> Sawai Mansingh Stadium - 6.3 km / 3.9 mi <br /> Jain Mandir Sanganer - 6.4 km / 4 mi <br /> Moti Dungri - 6.7 km / 4.2 mi <br /> Museum of Indology - 6.9 km / 4.3 mi <br /> Moti Dungari Temple - 7 km / 4.3 mi <br /> Central Park - 7.4 km / 4.6 mi <br /> Rajput Palace - 7.7 km / 4.8 mi <br /> Jaigarh Fort - 7.7 km / 4.8 mi <br /> The preferred airport for Tuma Club House is Sanganer Airport (JAI) - 3 km / 1.9 mi <b>Amenities: </b>Make use of convenient amenities such as complimentary wireless Internet access, concierge services, and wedding services.<b>Business Amenities: </b>Featured amenities include a business center, complimentary newspapers in the lobby, and dry cleaning/laundry services. A roundtrip airport shuttle is provided for a surcharge (available 24 hours), and free self parking is available onsite.<b>Dining: </b>Satisfy your appetite for lunch or dinner at Restaurant, a restaurant which specializes in international cuisine, or stay in and take advantage of the 24-hour room service. Cooked-to-order breakfasts are available daily from 7:00 AM to 10:00 AM for a fee. Additional Description for the hotel are Conveniently located near the airport, enjoy excellent food and service.","E-92, Girdhar Marg, Malviya Nagar, Rajasthan302017, India, 302017, Rajasthan, India",26.846989000000001,75.803569999999993,Standard Room,,INR,0,233.38999999999999,0,0,0,0,Published,1885.1800000000001,1885.1800000000001,2325.5700000000002,2325.5700000000002,2118.5700000000002,2118.5700000000002,169.6662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64906aaea3f464b55600b94e,Jaipur Inn,2,"The name of the hotel is Jaipur Inn. The id of the hotel is 64906aaea3f464b55600b94e. The hotel star rating is 2. The hotel address is 17 SHIV MARG BANI PARK, 302016 Jaipur, India, 302016 Jaipur, India. Hotel Description is Located 2 km from Nahargarh Fort and Jaipur Railway Station, Jaipur Inn faces a large lawn and offers a rooftop café. It features free parking and air-conditioned rooms with a cable TV.  The property is less than 3 km from City Palace, Ram Niwas Gardens, Jantar Mantar and Bapu Bazaar. Jaipur International Airport is 12 km away.  Fitted with tiled flooring and large windows, well-lit rooms offer a work desk and seating area. Private bathrooms come with hot/cold shower facilities.  Offering panoramic views of Jaipur City, the rooftop café serves both local and European dishes. A buffet dinner is also served every evening.  Guests can shop at the souvenir shop, or make travel arrangements at the tour desk. The 24-hour front desk assists with laundry and airport shuttle services.    Couples particularly like the location — they rated it 8.9 for a two-person trip.
 ","17 SHIV MARG BANI PARK, 302016 Jaipur, India, 302016 Jaipur, India",26.928370000000001,75.798069999999996,Budget Single Non-AC Room,Deluxe Room,INR,0,500,0,0,0,0,Published,3675.3800000000001,3675.3800000000001,4480,4480,4175.3800000000001,4175.3800000000001,324.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64906aaea3f464b55600b94f,Hotel Kesar Vilas,1,"The name of the hotel is Hotel Kesar Vilas. The id of the hotel is 64906aaea3f464b55600b94f. The hotel star rating is 1. The hotel address is Near Karbala Chouraha,Near Jalmahal,New Ramgarh Mod,Amer Road, Jaipur, Rajasthan, 302002, India, 302002 Jaipur, Rajasthan, India. Hotel Description is <b> Enjoy your stay at Hotel Kesar Vilas located centrally in the Pink City Jaipur. </b><br><br>Conveniently located at a close proximity from Jorawar Singh Gate(1.5 km), this is a budget property in Jaipur offering a pleasant stay to its guests.

The budget hotel has 20 well-appointed rooms, spread across 2 floors. Some of the amenities offered within the room include air conditioner, comfortable bed, desk, flat screen TV and attached bathroom with hot/cold water supply.

Hotel Kesar Vilas offers services like laundry and room service. Front desk, luggage storage, travel counter and parking are few of the facilities available within the premises.

Places of interest and travel hub in Jaipur include Jaipur Junction Railway Station (9 km), Hawa Mahal (3.5 km), Sisodia Rani ka Bagh (7.5 km) and Jal Mahal (2 km). The closest airport to this property is Jaipur International Airport (15 km).

<B> What people love the most about this property is its great location and hospitality.<br><br>Book now and enjoy services at this budget property in the city. </B> ","Near Karbala Chouraha,Near Jalmahal,New Ramgarh Mod,Amer Road, Jaipur, Rajasthan, 302002, India, 302002 Jaipur, Rajasthan, India",26.946090000000002,75.842889999999997,Non AC Double Room,Non AC Single Room,INR,0,509.88,0,0,0,0,Published,3724.25,3724.25,4759,4759,4234.1300000000001,4234.1300000000001,524.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
